system:index,CntrName,GW,HYBAS_ID,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,area_km2,crp,dummy,lat,lev,lon,.geo
2_00000000000000001154,Vietnam,0.0,4060015910,0.014992282716830906,0.050745488253822496,0.02163406269355604,0.0,0.0,0.0,0.0,0.014992282716830906,0.0,0.0,3514.17515999599,0.050745488253822496,,14.954520196059008,6,108.46982639796035,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001155,Vietnam,0.0,4060014940,0.33274551328365704,0.5529114085906164,0.5491969188374737,0.1107621028150202,0.0,0.0,0.0,0.33274551328365704,0.0,0.0,2820.80735348691,0.5529114085906164,,20.687330028093633,6,106.32312246066166,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001156,Vietnam,0.0,4060015920,0.03439906408094885,0.13143705586156804,0.0417730032081118,0.0030913262474447575,0.0,0.0,0.0,0.03439906408094885,0.0,0.0,10767.6739586005,0.13143705586156804,,14.075472087751871,6,108.94090442154545,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001157,Vietnam,0.0,4060016210,0.009008307685407864,0.14334584562490796,0.020847668805629258,0.0,0.0,0.0,0.0,0.009008307685407864,0.0,0.0,13164.1675703276,0.14334584562490796,,13.463963045952823,6,108.57241827343238,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000115a,Vietnam,0.0,4061138600,0.013635400889327442,0.127501561277466,0.0082789908344843,0.0,0.0,0.0,0.0,0.013635400889327442,0.0,0.0,3847.18039628931,0.127501561277466,,12.589854878692812,6,108.38840471154435,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000115c,Vietnam,0.0,4061138550,2.285407071020091E-4,0.01316154498002543,0.0,0.0,0.0,0.0,0.0,2.285407071020091E-4,0.0,0.0,4026.17623812287,0.01316154498002543,,12.177803199062156,6,108.10941418670852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000867,Zambia,0.0,1061432330,4.6403064313047914E-4,0.1187954846496429,0.0027269169882677973,0.0,0.0,0.0,0.0,4.6403064313047914E-4,0.0,0.0,3545.1143638581,0.1187954846496429,,-16.06212069703391,6,27.561023184239815,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000869,Zambia,0.0,1061434800,2.2526003257103435E-4,0.11517725331742523,0.0,0.0,0.0,0.0,0.0,2.2526003257103435E-4,0.0,0.0,8263.3141312079,0.11517725331742523,,-16.314462004531425,6,27.0261410941381,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000086a,Zambia,0.0,1061432480,0.002725642597835086,0.11480509407280182,0.0,0.0,0.0,0.0,0.0,0.002725642597835086,0.0,0.0,4437.6597068782,0.11480509407280182,,-15.181665441231075,6,27.94126219067369,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000086b,Zambia,0.0,1061432210,0.0,0.0740741695459744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3917.1879443812,0.0740741695459744,,-15.304187416635942,6,27.416100196105027,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000086c,Zambia,0.0,1061434720,1.5213803458198556E-6,0.032587718057401606,0.0,0.0,0.0,0.0,0.0,1.5213803458198556E-6,0.0,0.0,11757.4092913449,0.032587718057401606,,-15.472971626953068,6,26.66509370688524,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000086d,Zambia,0.0,1061436550,0.0,0.09951473598774996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7044.23849683231,0.09951473598774996,,-16.384283886979926,6,26.145663296829003,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000086e,Zambia,0.0,1061418680,6.158366082813999E-4,0.11350206181546402,0.0,0.0,0.0,0.0,0.0,6.158366082813999E-4,0.0,0.0,8943.62069235306,0.11350206181546402,,-14.576920451552732,6,28.59926309046513,"{""type"":""MultiPoint"",""coordinates"":[]}"
