"code","name","CC_1","CC_2","class","classF"
"AS090","Khorat Plateau Aquifer","LAO","THA","UB","DA"
"AS091","Lower Mekong River 2 Aquifer","LAO","THA","DA","DA"
"AS091","Lower Mekong River 2 Aquifer","LAO","VNM","UB","UB"
"AS092","Hong River Basin","CHN","VNM","UB","UB"
"AS093","Downstream of Lancang River","CHN","MMR","DA","DA"
"AS094","Bulgan River","CHN","MNG","IU0","IU0"
"AS095","Uvs Lake Aquifer","MNG","RUS","IU1","IU1"
"AS096","Shishhid River Aquifer","MNG","RUS","IU0","IU0"
"AS097","Delger River","MNG","RUS","IU0","IU0"
"AS098","Zelter Basin","MNG","RUS","IU1","BL"
"AS100","Minj River Basin","MNG","RUS","IU0","IU0"
"AS101","Balj River Basin","MNG","RUS","IU0","IU1"
"AS102","Onon River Basin","MNG","RUS","IU0","IU1"
"AS103","Ulz River Basin","MNG","RUS","IU1","IU1"
"AS104","Erguna River","CHN","RUS","IU1","IU1"
"AS105","Zeya River Basin","CHN","RUS","BL","DA"
"AS106","Kherlen River Basin","CHN","MNG","UB","UB"
"AS108","Buir Lake / Khalkha River Aquifer","CHN","MNG","IU0","IU0"
"AS109","Zamyn-Üüd Basin","CHN","MNG","UB","UB"
"AS110","Onch Khairkhani Sair Aquifer","CHN","MNG","IU0","IU0"
"AS111","Dankhan Khudgiin Sair Aquifer","CHN","MNG","IU0","IU0"
"AS113","Kabul River Aquifer","AFG","PAK","DA","DA"
"AS114","Lower Yalu River Basin","CHN","PRK","DA","DA"
"AS115","Middle of Korea Peninsula","KOR","PRK","DA","DA"
"AS118","Lower Mekong River 1 Aquifer","LAO","MMR","UB","BL"
"AS118","Lower Mekong River 1 Aquifer","LAO","THA","UB","BL"
"AS118","Lower Mekong River 1 Aquifer","MMR","THA","DA","BL"
"AS119","Karst Aquifer of Upper Hong River and Zuojiang Valley","CHN","VNM","UB","DA"
"AS120","Beilun River Basin","CHN","VNM","UB","UB"
"AS122","Kura River Valley Aquifer","AZE","GEO","UB","DA"
"AS123","Taurus-Zagros Mountain range","IRN","IRQ","DA","DA"
"AS123","Taurus-Zagros Mountain range","IRN","TUR","DA","DA"
"AS123","Taurus-Zagros Mountain range","IRQ","SYR","DA","DA"
"AS123","Taurus-Zagros Mountain range","IRQ","TUR","DA","DA"
"AS123","Taurus-Zagros Mountain range","SYR","TUR","DA","DA"
"AS124","Jezira Tertiary Limestone Aquifer System","IRQ","SYR","DA","DA"
"AS124","Jezira Tertiary Limestone Aquifer System","SYR","TUR","DA","DA"
"AS125","Neogene Aquifer System (North-West): Upper and Lower Fars","IRQ","SYR","DA","DA"
"AS126","Saq-Ram Aquifer System (West) / Disi","JOR","SAU","DA","DA"
"AS127","Wasia-Biyadh-Aruma Aquifer System (North): Sakaka-Rutba","IRQ","SAU","IU1","IU1"
"AS128","Neogene Aquifer System (South-East): Dibdibba-Kuwait Group","IRQ","KWT","UB","DA"
"AS128","Neogene Aquifer System (South-East): Dibdibba-Kuwait Group","IRQ","SAU","UB","DA"
"AS128","Neogene Aquifer System (South-East): Dibdibba-Kuwait Group","KWT","SAU","DA","DA"
"AS129","Tawil Quaternary Aquifer System: Wadi Sirhan Basin","JOR","SAU","IU1","IU1"
"AS130","Umm er Radhuma-Dammam Aquifer System (North): Widyan-Salman","IRQ","KWT","UB","DA"
"AS130","Umm er Radhuma-Dammam Aquifer System (North): Widyan-Salman","IRQ","SAU","UB","DA"
"AS130","Umm er Radhuma-Dammam Aquifer System (North): Widyan-Salman","KWT","SAU","DA","DA"
"AS131","Wajid Aquifer System","SAU","YEM","IU1","IU1"
"AS132","Sarakhas Aquifer","IRN","TKM","BL","BL"
"AS138","Tes River Basin","MNG","RUS","IU1","IU1"
"AS139","Wasia-Biyadh-Aruma Aquifer System (South): Tawila-Mahra/Cretaceous Sands","SAU","YEM","IU1","IU1"
"AS140","Umm er Radhuma-Dammam Aquifer System (Centre): Gulf","ARE","SAU","BL","BL"
"AS140","Umm er Radhuma-Dammam Aquifer System (Centre): Gulf","QAT","SAU","DA","DA"
"AS141","Umm er Radhuma-Dammam Aquifer System (South): Rub' al Khali","ARE","OMN","DA","DA"
"AS141","Umm er Radhuma-Dammam Aquifer System (South): Rub' al Khali","ARE","SAU","IU1","IU1"
"AS141","Umm er Radhuma-Dammam Aquifer System (South): Rub' al Khali","OMN","SAU","IU1","IU1"
"AS141","Umm er Radhuma-Dammam Aquifer System (South): Rub' al Khali","OMN","YEM","IU1","IU1"
"AS141","Umm er Radhuma-Dammam Aquifer System (South): Rub' al Khali","SAU","YEM","IU0","IU0"
"AS142","Basalt Aquifer System (West): Yarmouk Basin","JOR","SYR","BL","DA"
"AS143","Basalt Aquifer System (South): Azraq-Dhuleil Basin","JOR","SYR","BL","BL"
"AS150","Irtysh-Obsky","KAZ","RUS","DA","DA"
"AS151","Limbang Aquifer","BRN","MYS","UB","UB"
"AS152","Golok Aquifer","MYS","THA","UB","UB"
"AS153","Baram Aquifer","BRN","MYS","IU1","IU1"
"AS153","Baram Aquifer","IDN","MYS","IU1","IU1"
"AS154","Palah Basin Aquifer","IDN","MYS","UB","UB"
"AS155","Jayapura Basin Aquifer","IDN","PNG","UB","UB"
"AS156","Besikama Basin Aquifer","IDN","TLS","UB","DA"
"AS157","Eocene Aquifer","ISR","LBN","IU1","BL"
"AS158","Indo-Gangetic Basin alluvial aquifer system","BGD","IND","DA","DA"
"AS158","Indo-Gangetic Basin alluvial aquifer system","IND","NPL","DA","DA"
"AS158","Indo-Gangetic Basin alluvial aquifer system","IND","PAK","DA","DA"
"AS159","Eastern Mountain Aquifer","ISR","PSE","UB","BL"
"AS160","Sinai?Negev Basin","EGY","ISR","UB","UB"
"AS161","Arava Valley / Wadi Araba Alluvial Aquifer","ISR","JOR","IU1","BL"
"C001","Soconusco-Suchiate / Coatán","GTM","MEX","UB","BL"
"C002","Chicomuselo-Cuilco / Selegua","GTM","MEX","UB","DA"
"C003","Ocosingo-Usumacinta-Pocóm-Ixcán","GTM","MEX","UB","UB"
"C004","Márquez de Comillas-Chixoy / Xaclbal","GTM","MEX","UB","UB"
"C005","Boca del Cerro-San Pedro","GTM","MEX","UB","UB"
"C006","Trinitaria-Nentón","GTM","MEX","UB","DA"
"C007","Península de Yucatán-Candelaria-Hondo","BLZ","GTM","IU1","IU1"
"C007","Península de Yucatán-Candelaria-Hondo","BLZ","MEX","BL","BL"
"C007","Península de Yucatán-Candelaria-Hondo","GTM","MEX","IU1","IU1"
"C008","Mopán-Belice","BLZ","GTM","UB","UB"
"C009","Pusila-Moho","BLZ","GTM","IU0","IU0"
"C010","Sarstún","BLZ","GTM","IU1","IU1"
"C011","Temash","BLZ","GTM","IU0","IU0"
"C012","Delta del Río Motagua","GTM","HND","IU1","IU1"
"C013","Chiquimula - Copán Ruinas","GTM","HND","UB","UB"
"C014","Ocotepeque-Citala","HND","SLV","IU1","IU1"
"C015","Ostua-Metapán","GTM","SLV","UB","DA"
"C016","Río Paz","GTM","SLV","UB","DA"
"C017","Estero Real-Río Negro","HND","NIC","DA","DA"
"C018","Sixaola / Salinas Aquifer","CRI","PAN","UB","UB"
"CB001","Plaine du Nord?Massacre","DOM","HTI","BL","BL"
"CB002","Artibonito","DOM","HTI","DA","DA"
"CB003","Los Lagos","DOM","HTI","UB","BL"
"CB004","Pedernales","DOM","HTI","IU1","IU1"
"EB010 - EB012","Cerknica / Kupa Aquifer; Ko?evje Goteni?ka Gora Aquifer; Radovica-Metlika / Zumberak Aquifer","HRV","SVN","IU1","IU1"
"EB013","Ormo?-Sredi??e ob Drava / Drava-Vara?din Aquifer","HRV","SVN","IU1","BL"
"EB014 - EB015","Bregana-Obre?je / Sava-Samobor","HRV","SVN","UB","UB"
"EB016 - EB021","Bizeljsko / Sutla Aquifer (Bo?, Roga?ka, Atomske Toplice, Bohor, Orlica Aquifers)","HRV","SVN","IU1","IU1"
"EB022","Dolinsko-Ravensko / Mura Aquifer","HRV","SVN","IU1","BL"
"EB023","Kupa Aquifer","BIH","HRV","IU1","IU1"
"EB024","Una","BIH","HRV","IU1","BL"
"EB025","Krka","BIH","HRV","IU1","BL"
"EB026","Cetina","BIH","HRV","UB","DA"
"EB027","Neretva","BIH","HRV","UB","BL"
"EB028","Trebi?njica","BIH","HRV","UB","BL"
"EB029","Dinaric Littoral (West Coast aquifer)","HRV","MNE","IU1","UB"
"EB030","Bile?ko Lake","BIH","MNE","IU1","DA"
"EB031","Posavina I / Sava Aquifer","BIH","HRV","UB","BL"
"EB032","Srem-West Srem / Sava Aquifer","HRV","SRB","UB","DA"
"EB033","South Western Backa / Dunav Aquifer","HRV","SRB","UB","BL"
"EB034","Mura Aquifer","HRV","HUN","IU0","BL"
"EB035","Drava / Drava West Aquifer","HRV","HUN","UB","BL"
"EB036","Northeast Backa / Danube -Tisza Interfluve or Backa / Danube-Tisza Interfluve Aquifer","HRV","HUN","IU0","BL"
"EB040","Mures / Maros alluvial fan aquifer","HUN","ROU","DA","DA"
"EB041","Körös Valley, Sárrét, Shallow Cri?uri aquifer","HUN","ROU","DA","DA"
"EB042 - EB043","Körös ? Cri?uri holocene, pleistocene transboundary aquifer (Hortobágy-Nagykunság Bihar Northern Part)","HUN","ROU","IU1","BL"
"EB044","Skadar / Shkoder Lake, Dinaric East Coast Aquifer","ALB","MNE","DA","DA"
"EB046","Nyírség, keleti rész / Nyírség, east margin aquifer","HUN","ROU","BL","DA"
"EB047","Somes / Szamos alluvial fan aquifer","HUN","ROU","DA","DA"
"EB049","Tara Massif","BIH","SRB","UB","UB"
"EB050","Lim Aquifer","MNE","SRB","UB","UB"
"EB051","Pe?ter Aquifer","MNE","SRB","IU0","IU1"
